Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Fra tidspunkt;Til tidspunkt;Felt;Trafikkmengde
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-03T20:00+01:00;2025-01-03T21:00+01:00;2025-01-03;20:00;21:00;1;0
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-03T21:00+01:00;2025-01-03T22:00+01:00;2025-01-03;21:00;22:00;1;0
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-03T22:00+01:00;2025-01-03T23:00+01:00;2025-01-03;22:00;23:00;1;0
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-03T23:00+01:00;2025-01-04T00:00+01:00;2025-01-03;23:00;00:00;1;0
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-04T00:00+01:00;2025-01-04T01:00+01:00;2025-01-04;00:00;01:00;1;1
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-04T01:00+01:00;2025-01-04T02:00+01:00;2025-01-04;01:00;02:00;1;0
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-04T02:00+01:00;2025-01-04T03:00+01:00;2025-01-04;02:00;03:00;1;0
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-04T03:00+01:00;2025-01-04T04:00+01:00;2025-01-04;03:00;04:00;1;0
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-04T04:00+01:00;2025-01-04T05:00+01:00;2025-01-04;04:00;05:00;1;0
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-04T05:00+01:00;2025-01-04T06:00+01:00;2025-01-04;05:00;06:00;1;0
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-04T06:00+01:00;2025-01-04T07:00+01:00;2025-01-04;06:00;07:00;1;0
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-04T07:00+01:00;2025-01-04T08:00+01:00;2025-01-04;07:00;08:00;1;1
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-04T08:00+01:00;2025-01-04T09:00+01:00;2025-01-04;08:00;09:00;1;1
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-04T09:00+01:00;2025-01-04T10:00+01:00;2025-01-04;09:00;10:00;1;0
